goals
14-08-2022 Almeria 1 - 2 Real Madrid
22-08-2022 Elche 1 - 1 Almeria
27-08-2022 Almeria 2 - 1 Sevilla
05-09-2022 Valladolid 1 - 0 Almeria
12-09-2022 Almeria 0 - 1 Osasuna
17-09-2022 Mallorca 1 - 0 Almeria
30-09-2022 Ath Bilbao 4 - 0 Almeria
08-10-2022 Almeria 3 - 1 Vallecano
16-10-2022 Betis 3 - 1 Almeria
20-10-2022 Almeria 3 - 2 Girona
23-10-2022 Villarreal 2 - 1 Almeria
29-10-2022 Almeria 3 - 1 Celta
29-10-2022 Almeria ? - ? Celta
15-08-2022 Ath Bilbao 0 - 0 Mallorca
21-08-2022 Ath Bilbao 1 - 0 Valencia
29-08-2022 Cadiz 0 - 4 Ath Bilbao
04-09-2022 Ath Bilbao 0 - 1 Espanol
11-09-2022 Elche 1 - 4 Ath Bilbao
17-09-2022 Ath Bilbao 3 - 2 Vallecano
30-09-2022 Ath Bilbao 4 - 0 Almeria
08-10-2022 Sevilla 1 - 1 Ath Bilbao
15-10-2022 Ath Bilbao 0 - 1 Ath Madrid
18-10-2022 Getafe 2 - 2 Ath Bilbao
23-10-2022 Barcelona 4 - 0 Ath Bilbao
30-10-2022 Ath Bilbao ? - ? Villarreal
15-08-2022 Getafe 0 - 3 Ath Madrid
21-08-2022 Ath Madrid 0 - 2 Villarreal
29-08-2022 Valencia 0 - 1 Ath Madrid
03-09-2022 Sociedad 1 - 1 Ath Madrid
10-09-2022 Ath Madrid 4 - 1 Celta
18-09-2022 Ath Madrid 1 - 2 Real Madrid
01-10-2022 Sevilla 0 - 2 Ath Madrid
08-10-2022 Ath Madrid 2 - 1 Girona
15-10-2022 Ath Bilbao 0 - 1 Ath Madrid
18-10-2022 Ath Madrid 1 - 1 Vallecano
23-10-2022 Betis 1 - 2 Ath Madrid
29-10-2022 Cadiz 3 - 2 Ath Madrid
29-10-2022 Cadiz ? - ? Ath Madrid
13-08-2022 Barcelona 0 - 0 Vallecano
21-08-2022 Sociedad 1 - 4 Barcelona
28-08-2022 Barcelona 4 - 0 Valladolid
03-09-2022 Sevilla 0 - 3 Barcelona
10-09-2022 Cadiz 0 - 4 Barcelona
17-09-2022 Barcelona 3 - 0 Elche
01-10-2022 Mallorca 0 - 1 Barcelona
09-10-2022 Barcelona 1 - 0 Celta
16-10-2022 Real Madrid 3 - 1 Barcelona
20-10-2022 Barcelona 3 - 0 Villarreal
23-10-2022 Barcelona 4 - 0 Ath Bilbao
29-10-2022 Valencia 0 - 1 Barcelona
29-10-2022 Valencia ? - ? Barcelona
15-08-2022 Betis 3 - 0 Elche
20-08-2022 Mallorca 1 - 2 Betis
26-08-2022 Betis 1 - 0 Osasuna
03-09-2022 Real Madrid 2 - 1 Betis
11-09-2022 Betis 1 - 0 Villarreal
18-09-2022 Betis 2 - 1 Girona
02-10-2022 Celta 1 - 0 Betis
09-10-2022 Valladolid 0 - 0 Betis
16-10-2022 Betis 3 - 1 Almeria
19-10-2022 Cadiz 0 - 0 Betis
23-10-2022 Betis 1 - 2 Ath Madrid
30-10-2022 Sociedad ? - ? Betis
14-08-2022 Cadiz 0 - 1 Sociedad
20-08-2022 Osasuna 2 - 0 Cadiz
29-08-2022 Cadiz 0 - 4 Ath Bilbao
02-09-2022 Celta 3 - 0 Cadiz
10-09-2022 Cadiz 0 - 4 Barcelona
16-09-2022 Valladolid 0 - 1 Cadiz
01-10-2022 Cadiz 0 - 0 Villarreal
